,OA11CD,locationCount
1211,E00024109,146
1212,E00023780,2
1213,E00023781,2
1214,E00023701,1
1215,E00023703,127
1216,E00023700,29
1217,E00023783,1
1218,E00023708,5
1219,E00023709,3
1220,E00023928,171
1221,E00023921,48
1222,E00023929,554
1223,E00023720,14
1224,E00023570,6
1225,E00023499,24
1226,E00023431,1
1227,E00023807,4
1228,E00024036,2
1229,E00175279,2
1230,E00024110,426
1231,E00024112,408
1232,E00024117,163
1233,E00024116,141
1234,E00023459,11
1235,E00024119,24
1236,E00024118,361
1237,E00023546,2
1238,E00023543,9
1239,E00024092,48
1240,E00024014,1
1241,E00024094,5
1242,E00175228,10
1243,E00175229,7
1244,E00175225,13
1245,E00175226,247
1246,E00175227,3
1247,E00024114,177
1248,E00024001,8
1249,E00023811,9
1250,E00024080,17
1251,E00023899,11
1252,E00023721,19
1253,E00023662,1
1254,E00023663,2
1255,E00175269,63
1256,E00023960,13
1257,E00023965,13
1258,E00023963,2
1259,E00023967,2
1260,E00023969,4
1261,E00023903,19
1262,E00024135,34
1263,E00023902,3
1264,E00024134,104
1265,E00024133,594
1266,E00023682,9
1267,E00023684,1
1268,E00023602,1
1269,E00023604,7
1270,E00023605,2
1271,E00023686,4
1272,E00023685,2
1273,E00023600,2
1274,E00023681,14
1275,E00023509,26
1276,E00023508,93
1277,E00023589,1
1278,E00024129,541
1279,E00175208,83
1280,E00175205,1
1281,E00175204,2
1282,E00175207,2
1283,E00175209,97
1284,E00023733,6
1285,E00023734,48
1286,E00023732,4
1287,E00023737,26
1288,E00023731,52
1289,E00023739,5
1290,E00024089,1
1291,E00024008,6
1292,E00023578,1
1293,E00023572,25
1294,E00023574,4
1295,E00023575,12
1296,E00023946,98
1297,E00023947,6
1298,E00023944,4
1299,E00023458,7
1300,E00023916,1
1301,E00024032,14
1302,E00023882,1
1303,E00023519,52
1304,E00023476,60
1305,E00023538,4
1306,E00023530,1
1307,E00023531,2
1308,E00023532,3
1309,E00023803,1
1310,E00175188,5
1311,E00175232,3
1312,E00023564,2
1313,E00023567,12
1314,E00023716,8
1315,E00024097,32
1316,E00023763,3
1317,E00024076,23
1318,E00024073,2
1319,E00023841,24
1320,E00023694,6
1321,E00023631,2
1322,E00023630,9
1323,E00023633,14
1324,E00023637,14
1325,E00023636,21
1326,E00023639,1
1327,E00023824,71
1328,E00024057,19
1329,E00023826,48
1330,E00023827,1
1331,E00023825,6
1332,E00024054,133
1333,E00023831,13
1334,E00024021,2
1335,E00023833,77
1336,E00023830,15
1337,E00024023,1
1338,E00024022,4
1339,E00023835,22
1340,E00023832,36
1341,E00024026,1
1342,E00023834,99
1343,E00023628,1
1344,E00023524,2
1345,E00175214,627
1346,E00023527,3
1347,E00023526,4
1348,E00023522,208
1349,E00023525,15
1350,E00175218,75
1351,E00024030,371
1352,E00023806,5
1353,E00023884,716
1354,E00023566,3
1355,E00175257,1
1356,E00175254,1
1357,E00023659,3
1358,E00023658,15
