,OA11CD,count,lng,lat,POPDEN,WD11NM_BF
11171,E00019409,1,-0.2861471537227547,51.46409924093681,39.3,North Richmond
11172,E00019659,3,-0.3589595372139934,51.454184686610546,75.2,Whitton
11173,E00019289,1,-0.31982885644999753,51.42160228561508,120.9,Hampton Wick
11174,E00019358,1,-0.2889480821035155,51.473429997279545,80.9,Kew
11175,E00019179,2,-0.31396654423690457,51.43451301441749,63.8,"Ham, Petersham and Richmond Riverside"
11176,E00019178,11,-0.31224589551874493,51.4396092489271,13.1,"Ham, Petersham and Richmond Riverside"
11177,E00019199,810,-0.28952569908502024,51.44317740047193,1.4,"Ham, Petersham and Richmond Riverside"
11178,E00019118,3,-0.26337665244878633,51.46655298661746,117.3,East Sheen
11179,E00019359,5,-0.2871395530746211,51.4719206418658,118.5,Kew
11180,E00019345,58,-0.2867373027345401,51.47720908634145,62.0,Kew
11181,E00019342,2,-0.2816489463399424,51.479569890260755,98.2,Kew
11182,E00019347,1,-0.2795116859129639,51.47607209644947,146.2,Kew
11183,E00019344,30,-0.2847180366559337,51.47888773010165,68.1,Kew
11184,E00019341,2,-0.2820743296423318,51.48186980771446,79.2,Kew
11185,E00019348,18,-0.28939135353749107,51.47848023803685,72.9,Kew
11186,E00019102,16,-0.24532489523162984,51.4748877070257,76.5,Barnes
11187,E00019183,16,-0.2982998791583379,51.43747515497561,3.9,"Ham, Petersham and Richmond Riverside"
11188,E00019104,13,-0.23871364382190022,51.473734425406036,159.1,Barnes
11189,E00019186,58,-0.30884616469307513,51.434022501816145,20.4,"Ham, Petersham and Richmond Riverside"
11190,E00019181,1147,-0.2811376835782703,51.43144511849443,0.9,"Ham, Petersham and Richmond Riverside"
11191,E00019366,25,-0.28510283348712645,51.483885071469835,65.8,Kew
11192,E00019630,4,-0.3541420867632357,51.44126012228835,64.1,West Twickenham
11193,E00019106,1,-0.23910686015512886,51.472525687952896,113.8,Barnes
11194,E00019187,5,-0.3068170299614901,51.431511359712204,54.5,"Ham, Petersham and Richmond Riverside"
11195,E00019235,4,-0.3706205969654596,51.414719921446036,64.8,Hampton
11196,E00019231,20,-0.3557568646699935,51.413059037059575,10.3,Hampton
11197,E00019425,103,-0.3120761324409181,51.46601067878409,3.2,North Richmond
11198,E00019444,6,-0.3254915623267582,51.461019235879846,119.3,St Margarets and North Twickenham
11199,E00019447,1,-0.3330793374183273,51.45336343290163,61.9,St Margarets and North Twickenham
11200,E00019166,2,-0.34395526105853325,51.43369980158635,32.8,Fulwell and Hampton Hill
11201,E00019373,14,-0.25499832788515947,51.4698825352783,114.3,Mortlake and Barnes Common
11202,E00019464,1,-0.3386530583959766,51.454422167910955,68.3,St Margarets and North Twickenham
11203,E00019463,5,-0.32015164254515216,51.45374387460837,126.1,St Margarets and North Twickenham
11204,E00019466,452,-0.3419907241403356,51.45571478166322,13.0,St Margarets and North Twickenham
11205,E00019467,9,-0.34100160507431665,51.452458834853054,34.9,St Margarets and North Twickenham
11206,E00019461,1,-0.3232328329976094,51.4540021575656,121.7,St Margarets and North Twickenham
11207,E00019468,1,-0.3206555202769093,51.45279136519105,115.8,St Margarets and North Twickenham
11208,E00019318,2,-0.37463025914169695,51.45355748251744,56.0,Heathfield
11209,E00019399,148,-0.2485870141282689,51.47301158505016,91.3,Mortlake and Barnes Common
11210,E00019326,8,-0.3567801823883585,51.44831103533433,60.3,Heathfield
11211,E00019324,1,-0.3666456155980308,51.448927904086446,35.6,Heathfield
11212,E00019325,5,-0.3777148484078093,51.44975974305072,39.7,Heathfield
11213,E00019670,1,-0.3548011170248123,51.450219400511344,57.8,Whitton
11214,E00019504,1,-0.28318626827684057,51.46031143671786,18.2,South Richmond
